Sensor,Time,Mean,Std
OpSet1,1,-5.9e-05,0.00219434972305
OpSet2,1,-2e-06,0.000327210431782
OpSet3,1,100.0,0.0
SensorMeasure1,1,518.67,0.0
SensorMeasure2,1,642.3972,0.358095636456
SensorMeasure3,1,1586.4157,4.75542120303
SensorMeasure4,1,1402.4379,6.31829862903
SensorMeasure5,1,14.62,0.0
SensorMeasure6,1,21.6095,0.00219042913558
SensorMeasure7,1,553.9961,0.65395594174
SensorMeasure8,1,2388.0567,0.0547179175869
SensorMeasure9,1,9055.8395,8.11808050346
SensorMeasure10,1,1.3,0.0
SensorMeasure11,1,47.3428,0.189753055897
SensorMeasure12,1,521.8994,0.491083773635
SensorMeasure13,1,2388.0541,0.0540500142498
SensorMeasure14,1,8137.428,8.18976461472
SensorMeasure15,1,8.419393,0.0265718665494
SensorMeasure16,1,0.03,0.0
SensorMeasure17,1,392.1,1.15906615145
SensorMeasure18,1,2388,0.0
SensorMeasure19,1,100.0,0.0
SensorMeasure20,1,38.9378,0.137257260484
SensorMeasure21,1,23.36319,0.0769722900422
OpSet1,2,9.5e-05,0.0020874988659
OpSet2,2,-5.96311194867e-21,0.000282127559086
OpSet3,2,100.0,0.0
SensorMeasure1,2,518.67,0.0
SensorMeasure2,2,642.3483,0.344430594378
SensorMeasure3,2,1587.1548,4.63013569188
SensorMeasure4,2,1402.638,6.43402131664
SensorMeasure5,2,14.62,0.0
SensorMeasure6,2,21.6093,0.00256432399976
SensorMeasure7,2,553.9626,0.680026172996
SensorMeasure8,2,2388.0591,0.0549397282245
SensorMeasure9,2,9056.5351,8.53513185296
SensorMeasure10,2,1.3,0.0
SensorMeasure11,2,47.3486,0.177268956189
SensorMeasure12,2,521.9129,0.53675661772
SensorMeasure13,2,2388.056,0.0555050275274
SensorMeasure14,2,8137.1568,7.94823859275
SensorMeasure15,2,8.416795,0.0249719898642
SensorMeasure16,2,0.03,0.0
SensorMeasure17,2,392.29,1.24149632755
SensorMeasure18,2,2388,0.0
SensorMeasure19,2,100.0,0.0
SensorMeasure20,2,38.9483,0.141200158812
SensorMeasure21,2,23.367331,0.0820028697391
OpSet1,3,-0.000204,0.00199777249693
OpSet2,3,-5.9e-05,0.000293393588853
OpSet3,3,100.0,0.0
SensorMeasure1,3,518.67,0.0
SensorMeasure2,3,642.4103,0.400006199447
SensorMeasure3,3,1587.3248,3.95659083944
SensorMeasure4,3,1402.4036,5.62959971665
SensorMeasure5,3,14.62,0.0
SensorMeasure6,3,21.6093,0.00256432399976
SensorMeasure7,3,553.9836,0.677931375211
SensorMeasure8,3,2388.0578,0.053287480289
SensorMeasure9,3,9056.1811,8.28224727896
SensorMeasure10,3,1.3,0.0
SensorMeasure11,3,47.3609,0.173950503816
SensorMeasure12,3,521.9625,0.515750654264
SensorMeasure13,3,2388.0581,0.0482772924852
SensorMeasure14,3,8137.2422,7.67143587892
SensorMeasure15,3,8.416268,0.0233928283925
SensorMeasure16,3,0.03,0.0
SensorMeasure17,3,392.2,1.09175051725
SensorMeasure18,3,2388,0.0
SensorMeasure19,3,100.0,0.0
SensorMeasure20,3,38.9286,0.140065064246
SensorMeasure21,3,23.341247,0.0752603541049
OpSet1,4,0.000139,0.00213285482323
OpSet2,4,7e-06,0.000294822322798
OpSet3,4,100.0,0.0
SensorMeasure1,4,518.67,0.0
SensorMeasure2,4,642.4022,0.402902549814
SensorMeasure3,4,1587.0348,5.00043704757
SensorMeasure4,4,1402.1167,5.88499479587
SensorMeasure5,4,14.62,0.0
SensorMeasure6,4,21.6095,0.00219042913558
SensorMeasure7,4,553.9676,0.657616018876
SensorMeasure8,4,2388.0626,0.0566509782204
SensorMeasure9,4,9056.5935,8.71278016085
SensorMeasure10,4,1.3,0.0
SensorMeasure11,4,47.335,0.170344274096
SensorMeasure12,4,521.9583,0.525543595439
SensorMeasure13,4,2388.0575,0.0586097347726
SensorMeasure14,4,8137.6664,8.64793272664
SensorMeasure15,4,8.419922,0.0267726099293
SensorMeasure16,4,0.03,0.0
SensorMeasure17,4,392.22,1.10627229191
SensorMeasure18,4,2388,0.0
SensorMeasure19,4,100.0,0.0
SensorMeasure20,4,38.9397,0.123283814793
SensorMeasure21,4,23.365847,0.0791232786431
OpSet1,5,0.00036,0.00222156555954
OpSet2,5,4e-06,0.000285657137142
OpSet3,5,100.0,0.0
SensorMeasure1,5,518.67,0.0
SensorMeasure2,5,642.3497,0.388585767868
SensorMeasure3,5,1586.4922,4.62446384116
SensorMeasure4,5,1403.1737,5.49112463964
SensorMeasure5,5,14.62,0.0
SensorMeasure6,5,21.6097,0.00171446607998
SensorMeasure7,5,553.9331,0.591532327899
SensorMeasure8,5,2388.0576,0.0556162900343
SensorMeasure9,5,9055.6079,8.6974451485
SensorMeasure10,5,1.3,0.0
SensorMeasure11,5,47.3441,0.172311058873
SensorMeasure12,5,521.9124,0.515628713026
SensorMeasure13,5,2388.0597,0.0589376489576
SensorMeasure14,5,8136.9956,7.81448154765
SensorMeasure15,5,8.418122,0.0278735259791
SensorMeasure16,5,0.03,0.0
SensorMeasure17,5,392.4,1.20604537831
SensorMeasure18,5,2388,0.0
