Sensor,Time,Mean,Std
OpSet1,1,17.1715496469,16.6804446303
OpSet2,1,0.406859887006,0.369803239825
OpSet3,1,95.1129943503,13.1041471305
SensorMeasure1,1,486.043403955,30.7487579937
SensorMeasure2,1,596.855423729,43.3822616039
SensorMeasure3,1,1462.08028249,121.239037895
SensorMeasure4,1,1254.40466808,138.937551882
SensorMeasure5,1,9.92232344633,4.3215759833
SensorMeasure6,1,14.4475423729,6.54227101229
SensorMeasure7,1,359.387944915,177.108739204
SensorMeasure8,1,2269.01298023,149.60096484
SensorMeasure9,1,8663.17274011,384.060207704
SensorMeasure10,1,1.15074152542,0.144440241347
SensorMeasure11,1,43.9658827684,3.54669412554
SensorMeasure12,1,338.431497175,167.006183742
SensorMeasure13,1,2344.0603178,117.866117801
SensorMeasure14,1,8078.9789548,82.3399560636
SensorMeasure15,1,9.07219039548,0.781492568898
SensorMeasure16,1,0.0249293785311,0.00500126753214
SensorMeasure17,1,359.423022599,31.7982777215
SensorMeasure18,1,2269.00988701,149.688472407
SensorMeasure19,1,98.1588206215,4.9369874314
SensorMeasure20,1,25.9644420904,11.9071983917
SensorMeasure21,1,15.578246822,7.1415313255
OpSet1,2,16.6262982345,16.5263005722
OpSet2,2,0.397994350282,0.369390607929
OpSet3,2,96.0734463277,11.9056467756
SensorMeasure1,2,487.181963277,30.3852036865
SensorMeasure2,2,599.09799435,42.2275405226
SensorMeasure3,2,1469.12298729,116.56141642
SensorMeasure4,2,1261.76236582,134.422642567
SensorMeasure5,2,10.0651977401,4.27205402758
SensorMeasure6,2,14.689519774,6.4513595178
SensorMeasure7,2,366.79055791,174.020188901
SensorMeasure8,2,2279.90556497,139.180783805
SensorMeasure9,2,8685.75903249,369.825913647
SensorMeasure10,2,1.15805084746,0.141379924052
SensorMeasure11,2,44.1972810734,3.34733498047
SensorMeasure12,2,345.421073446,164.061287231
SensorMeasure13,2,2352.70105226,107.095027977
SensorMeasure14,2,8084.5960452,76.6567078602
SensorMeasure15,2,9.01919851695,0.733483722345
SensorMeasure16,2,0.0251412429379,0.00499977041257
SensorMeasure17,2,361.26059322,30.630371785
SensorMeasure18,2,2279.91384181,139.248999054
SensorMeasure19,2,98.520670904,4.48545242272
SensorMeasure20,2,26.4544985876,11.709666969
SensorMeasure21,2,15.8775913842,7.02358652431
OpSet1,3,16.5138951977,16.1647149179
OpSet2,3,0.400113983051,0.366621342446
OpSet3,3,95.593220339,12.5284607419
SensorMeasure1,3,487.058827684,30.0416645501
SensorMeasure2,3,598.555190678,42.2567259802
SensorMeasure3,3,1467.16431497,118.024248159
SensorMeasure4,3,1259.35991525,135.571326377
SensorMeasure5,3,10.0710381356,4.19463250949
SensorMeasure6,3,14.681059322,6.35271480939
SensorMeasure7,3,365.870621469,172.157797209
SensorMeasure8,3,2275.56213277,144.229853288
SensorMeasure9,3,8678.48228814,374.106627645
SensorMeasure10,3,1.15574152542,0.142359772672
SensorMeasure11,3,44.0982909605,3.437011713
SensorMeasure12,3,344.554258475,162.319269388
SensorMeasure13,3,2348.38264831,112.694702408
SensorMeasure14,3,8081.60775424,79.9169305008
SensorMeasure15,3,9.04212387006,0.757655883026
SensorMeasure16,3,0.0251059322034,0.00500064378679
SensorMeasure17,3,360.707627119,30.952042668
SensorMeasure18,3,2275.56426554,144.308582183
SensorMeasure19,3,98.3397457627,4.72009758452
SensorMeasure20,3,26.4217090395,11.555011079
SensorMeasure21,3,15.8512980932,6.92984465801
OpSet1,4,17.8241045198,17.2680234046
OpSet2,4,0.415104449153,0.377024112567
OpSet3,4,96.2146892655,11.7124178148
SensorMeasure1,4,485.24315678,31.5136428293
SensorMeasure2,4,596.811271186,43.2154441615
SensorMeasure3,4,1463.72054379,118.67433085
SensorMeasure4,4,1255.53141243,136.871253777
SensorMeasure5,4,9.79889124294,4.44545267
SensorMeasure6,4,14.3022740113,6.69178833723
SensorMeasure7,4,357.046016949,179.581987059
SensorMeasure8,4,2276.40576271,137.846731444
SensorMeasure9,4,8668.64413842,374.957412368
SensorMeasure10,4,1.15188559322,0.142271987231
SensorMeasure11,4,44.0907274011,3.34463024633
SensorMeasure12,4,336.240310734,169.297372787
SensorMeasure13,4,2353.96926554,105.348487496
SensorMeasure14,4,8084.72797316,74.7615319437
SensorMeasure15,4,9.03376193503,0.723755836237
SensorMeasure16,4,0.0249081920904,0.00500092323432
SensorMeasure17,4,359.823446328,31.1217586228
SensorMeasure18,4,2276.41313559,137.913480626
SensorMeasure19,4,98.5738841808,4.41265341174
SensorMeasure20,4,25.7674646893,12.1183916821
SensorMeasure21,4,15.4564993644,7.26751062726
OpSet1,5,16.49415,16.3759679923
OpSet2,5,0.393447881356,0.364804398311
OpSet3,5,95.1129943503,13.1041471305
SensorMeasure1,5,487.116596045,30.1745358935
SensorMeasure2,5,598.201045198,42.8673464438
SensorMeasure3,5,1465.62252825,120.453389736
SensorMeasure4,5,1259.04809322,137.641051802
SensorMeasure5,5,10.0675706215,4.24712372785
SensorMeasure6,5,14.6627118644,6.4392544389
SensorMeasure7,5,365.036235876,174.755805448
SensorMeasure8,5,2271.61095339,149.6547868
SensorMeasure9,5,8674.24834746,381.343758616
SensorMeasure10,5,1.15610875706,0.143914136286
SensorMeasure11,5,44.0509675141,3.53685070576
SensorMeasure12,5,343.769851695,164.770904438
SensorMeasure13,5,2344.0624435,117.873555729
SensorMeasure14,5,8080.13355932,83.1694080075
